,Population,inf_factor,death_factor
Groningen (PV),585866,1.125812437855936,0.9918927528470189
Frysl̢n (PV),649957,0.6545640602471436,1.1034320502634636
Drenthe (PV),493682,0.5339833891651091,1.217638622613165
Overijssel (PV),1162406,0.9247520197408352,0.9660524640823458
Flevoland (PV),423021,0.8560262674883277,0.633782968428154
Gelderland (PV),2085952,0.9489852375575089,1.0244126564595015
Utrecht (PV),1354834,1.294069721510249,0.8144241838907804
Noord-Holland (PV),2879527,1.2148228227868325,0.8768753569214978
Zuid-Holland (PV),3708696,1.4765790885171364,0.883178569346768
Zeeland (PV),383488,0.5533238683381781,1.258557288456352
Noord-Brabant (PV),2562955,0.9705245212518477,1.0178893421798119
Limburg (PV),1117201,0.8610248154248467,1.258557288456352
